width,height,out_width,out_height,engine,mode,round,frame,input,upload_ms,record_ms,submit_ms,wait_ms,query_ms,retire_ms,read_ms,total_ms,device_ms
1920,1080,960,540,ogpu,resident,0,16,0,4e-05,0.0022,0.07968,1.00721,0.01645,0.00029,3e-05,1.1059,0.93388
1920,1080,960,540,ogpu,resident,0,17,1,3e-05,0.00192,0.088579,1.03489,0.02153,0.0003,4e-05,1.147289,0.93252
1920,1080,960,540,ogpu,resident,0,18,0,4e-05,0.00262,0.098719,1.00581,0.0169,0.00023,3e-05,1.124349,0.9336
1920,1080,960,540,ogpu,resident,0,19,1,3e-05,0.00166,0.078389,1.00093,0.01858,0.00026,3e-05,1.099879,0.93328
1920,1080,960,540,ogpu,resident,0,20,0,2e-05,0.00168,0.078329,1.014171,0.02153,0.00033,4e-05,1.1161,0.93276
1920,1080,960,540,ogpu,resident,0,21,1,5e-05,0.00278,0.098589,1.00096,0.01382,0.00021,2e-05,1.116429,0.93472
1920,1080,960,540,ogpu,resident,0,22,0,3e-05,0.00171,0.076679,1.04717,0.01602,0.00025,3e-05,1.141889,0.93392
1920,1080,960,540,ogpu,resident,0,23,1,4e-05,0.00198,0.085529,0.99631,0.01329,0.0002,3e-05,1.097379,0.93284
1920,1080,960,540,ogpu,resident,0,24,0,3e-05,0.00164,0.073629,1.01819,0.02053,0.0003,5e-05,1.114369,0.9344
1920,1080,960,540,ogpu,resident,0,25,1,4e-05,0.00252,0.112839,1.01325,0.02284,0.00032,3e-05,1.151839,0.93072
1920,1080,960,540,ogpu,resident,0,26,0,4e-05,0.00232,0.110199,1.00689,0.01872,0.00031,3e-05,1.138509,0.93364
1920,1080,960,540,ogpu,resident,0,27,1,3e-05,0.00219,0.093609,1.00564,0.01851,0.00027,3e-05,1.120279,0.93296
1920,1080,960,540,ogpu,resident,0,28,0,4e-05,0.00221,0.093729,1.006291,0.01848,0.00024,4e-05,1.12103,0.93388
1920,1080,960,540,ogpu,resident,0,29,1,6e-05,0.00217,0.079259,0.99883,0.01844,0.00024,3e-05,1.099029,0.93324
1920,1080,960,540,ogpu,resident,0,30,0,3e-05,0.00176,0.082099,1.001201,0.021269,0.00023,3e-05,1.106619,0.93212
1920,1080,960,540,ogpu,resident,0,31,1,3e-05,0.00175,0.07881,0.99908,0.01369,0.0002,3e-05,1.09359,0.93208
1920,1080,960,540,ogpu,resident,0,32,0,3e-05,0.0016,0.073729,1.03679,0.01882,0.00024,3e-05,1.131239,0.93136
1920,1080,960,540,ogpu,resident,0,33,1,3e-05,0.00231,0.079679,1.00347,0.02224,0.0003,4e-05,1.108069,0.93244
1920,1080,960,540,ogpu,resident,0,34,0,5e-05,0.00247,0.109089,1.01253,0.02199,0.00033,4e-05,1.146499,0.93196
1920,1080,960,540,ogpu,resident,0,35,1,4e-05,0.00258,0.088519,1.00133,0.01458,0.00022,3e-05,1.107299,0.93324
1920,1080,960,540,ogpu,resident,0,36,0,3e-05,0.00166,0.093089,1.009261,0.018199,0.00027,3e-05,1.122539,0.93276
1920,1080,960,540,ogpu,resident,0,37,1,7e-05,0.00237,0.097909,1.005761,0.019279,0.00027,4e-05,1.125699,0.93268
1920,1080,960,540,ogpu,resident,0,38,0,4e-05,0.00206,0.07963,0.99978,0.01814,0.0002,4e-05,1.09989,0.93228
1920,1080,960,540,ogpu,resident,0,39,1,3e-05,0.00222,0.084339,1.02152,0.01705,0.00026,3e-05,1.125449,0.93468
1920,1080,960,540,native,resident,0,10,0,2e-05,0.076289,0.01831,1.0119,0.01855,4e-05,4e-05,1.125149,0.933
1920,1080,960,540,native,resident,0,11,1,2e-05,0.072419,0.0189,1.004241,0.017289,5e-05,2e-05,1.112939,0.93212
1920,1080,960,540,native,resident,0,12,0,2e-05,0.07358,0.019039,1.02858,0.01837,5e-05,3e-05,1.139669,0.93456
1920,1080,960,540,native,resident,0,13,1,3e-05,0.06372,0.015739,1.002031,0.01273,6e-05,2e-05,1.09433,0.93892
1920,1080,960,540,native,resident,0,14,0,8e-05,0.055519,0.01614,1.05455,0.01655,6e-05,3e-05,1.142929,0.9334
1920,1080,960,540,native,resident,0,15,1,4e-05,0.087659,0.02319,1.0205,0.02121,9e-05,3e-05,1.152719,0.93372
1920,1080,960,540,native,resident,0,16,0,3e-05,0.076999,0.01871,1.00159,0.01656,4e-05,3e-05,1.113959,0.93352
1920,1080,960,540,native,resident,0,17,1,3e-05,0.064189,0.01634,1.00039,0.01579,4e-05,3e-05,1.096809,0.9336
1920,1080,960,540,native,resident,0,18,0,3e-05,0.05752,0.016019,1.007841,0.017579,5e-05,3e-05,1.099069,0.93372
1920,1080,960,540,native,resident,0,19,1,3e-05,0.06942,0.01933,1.01795,0.0157,5e-05,3e-05,1.12251,0.93332
1920,1080,960,540,native,resident,0,20,0,3e-05,0.056529,0.01485,1.00071,0.01714,4e-05,3e-05,1.089329,0.93324
1920,1080,960,540,native,resident,0,21,1,3e-05,0.075349,0.01931,1.02449,0.01619,4e-05,2e-05,1.135429,0.93332
1920,1080,960,540,native,resident,0,22,0,3e-05,0.05685,0.01583,0.99669,0.01469,3e-05,3e-05,1.08415,0.93356
1920,1080,960,540,native,resident,0,23,1,7e-05,0.057449,0.01942,1.04251,0.01764,4e-05,3e-05,1.137159,0.9324
1920,1080,960,540,native,resident,0,24,0,3e-05,0.065749,0.0174,1.00287,0.01654,5e-05,4e-05,1.102679,0.93244
1920,1080,960,540,native,resident,0,25,1,4e-05,0.068569,0.01957,1.02369,0.01528,4e-05,3e-05,1.127219,0.93336
1920,1080,960,540,native,resident,0,26,0,3e-05,0.05663,0.014849,0.998691,0.01429,4e-05,2e-05,1.08455,0.9338
1920,1080,960,540,native,resident,0,27,1,2e-05,0.062139,0.016,1.03518,0.01634,5e-05,3e-05,1.129759,0.93232
1920,1080,960,540,native,resident,0,28,0,3e-05,0.065699,0.01773,0.99646,0.01374,5e-05,3e-05,1.093739,0.93236
1920,1080,960,540,native,resident,0,29,1,3e-05,0.06136,0.017199,1.033171,0.020949,7e-05,3e-05,1.132809,0.9326
1920,1080,960,540,native,resident,0,30,0,3e-05,0.07909,0.018649,1.007521,0.015639,5e-05,2e-05,1.120999,0.93252
1920,1080,960,540,native,resident,0,31,1,3e-05,0.06621,0.01639,0.99553,0.01291,4e-05,3e-05,1.09114,0.93116
1920,1080,960,540,native,resident,0,32,0,2e-05,0.054999,0.01619,1.04174,0.01482,4e-05,3e-05,1.127839,0.93464
1920,1080,960,540,native,resident,0,33,1,3e-05,0.067299,0.01778,1.00148,0.01465,4e-05,3e-05,1.101309,0.93264
1920,1080,960,540,native,resident,0,34,0,3e-05,0.06538,0.017859,0.993971,0.01237,4e-05,3e-05,1.08968,0.9322
1920,1080,960,540,native,resident,0,35,1,3e-05,0.054659,0.01608,1.05241,0.01529,3e-05,3e-05,1.138529,0.93312
1920,1080,960,540,native,resident,0,36,0,3e-05,0.065549,0.01835,0.99518,0.01229,3e-05,3e-05,1.091459,0.9324
